Fecha;Unidad;Tipo;Categoria;Descripcion;Detalle;Area;Medio;Monto;Estado
2026-07-13;CALLAO;EGRESO;GASTOS VARIOS;GASTO3;GASTOS VARIOS VTAS;VENTAS;E;-10500;CLASIFICADO
2026-07-13;CALLAO;EGRESO;GERENCIA;GERENCIA1;RETIRO DE RECAUDACIÓN;NEGOCIO;E;-21500;CLASIFICADO
2026-07-13;CALLAO;EGRESO;GERENCIA;GERENCIA1;RETIRO DE RECAUDACIÓN;NEGOCIO;E;-500000;CLASIFICADO
2026-07-13;CALLAO;EGRESO;APORTES;CARGA Y DESCARGA;SINDICATO;NEGOCIO;E;-650000;CLASIFICADO
2026-07-13;CALLAO;EGRESO;MANTENIMIENTO/REPARACIONES;FUMISUR1;FUMIGACION FUMISUR;NEGOCIO;E;-48400;CLASIFICADO
2026-07-13;V. OBLIGADO;EGRESO;MANTENIMIENTO/REPARACIONES;FUMISUR2;FUMIGACION FUMISUR;NEGOCIO;E;-48400;CLASIFICADO
2026-07-14;CALLAO;EGRESO;IMPUESTOS;DBCR 25413;;NEGOCIO;T;-246551,09;CLASIFICADO
2026-07-14;CALLAO;EGRESO;IMPUESTOS;IIBB;INGRESOS BRUTOS;NEGOCIO;T;-755668,83;CLASIFICADO
2026-07-14;CALLAO;INGRESO;VENTA DIARIA;V30;COBRANZA V30;VENTAS;E/T/EC;396929,81;CLASIFICADO
2026-07-14;CALLAO;INGRESO;VENTA DIARIA;V24;COBRANZA V24;VENTAS;T;677398,01;CLASIFICADO
2026-07-14;CALLAO;INGRESO;VENTA DIARIA;V28;COBRANZA V28;VENTAS;E/T;332826,96;CLASIFICADO
2026-07-14;CALLAO;INGRESO;VENTA DIARIA;R1;COBRANZA REPARTO 1;DEPOSITO/LOG;E/T;4511391,25;CLASIFICADO
2026-07-14;CALLAO;INGRESO;VENTA DIARIA;R2;COBRANZA REPARTO 2;DEPOSITO/LOG;E/T;6311167,07;CLASIFICADO
2026-07-14;CALLAO;INGRESO;VENTA DIARIA;R3;COBRANZA REPARTO 3;DEPOSITO/LOG;E/T;1580415,92;CLASIFICADO
2026-07-14;CALLAO;EGRESO;PAGO A PROVEEDORES;PAULINA;LA PAULINA;NEGOCIO;T;-6000000;CLASIFICADO
2026-07-14;CALLAO;EGRESO;PAGO A PROVEEDORES;CHESS;CHESS;NEGOCIO;T;-1247594,88;CLASIFICADO
2026-07-14;CALLAO;EGRESO;PAGO A PROVEEDORES;ILOLAY;ILOLAY;NEGOCIO;T;-1310980,43;CLASIFICADO
2026-07-14;CALLAO;EGRESO;SERVICIO TERCIARIZADO;CANTEROS;JORNAL;DEPOSITO/LOG;T;-70200;CLASIFICADO
2026-07-14;CALLAO;EGRESO;PAGO A PROVEEDORES;PAULINA;LA PAULINA;NEGOCIO;T;-3800000;CLASIFICADO
2026-07-14;CALLAO;EGRESO;GASTOS BANCARIOS;PRESTAMO;CUOTA PRESTAMO BCO MACRO;NEGOCIO;T;-5921043,57;CLASIFICADO
